Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Random Item Generation By Treasure Level 1 - 6						Notes		
20	item020	Long Dagger	15	Weapon	Dagger	2d3	0	7	1	Long Dagger	5	0	0	4	80	5	10	10	5	0	0	The common long dagger. Bordering on swords, these long daggers are favored by assassins who want a weapon that is both concealable yet has a longer reach than the traditional dagger.		
21	item021	Exquisite Long Dagger	500	Weapon	Dagger	2d3	7	7	8	Long Dagger	5	0	0	10	84	0	0	10	10	5	0	The spare, yet appealing design of this long dagger is typical of pre-Silence artifacts.  This particular style was very popular at the time, but since more than a thousand years have passed, few remain.  Like everything from the time of the Silence, it looks as new as the day it was made.		
22	item022	Blade of Mercy	700	Missile	Dagger	8d5	15	10	8	Throwing Dagger	5	0	0	6	77	0	0	0	2	5	10	Though generally considered unfashionable among current necromantic customs, live sacrifice was once widely practiced.  To reduce the cruelty inflicted on his victims, the Necromancer Ferredine the Merciful created a blade capable of bringing about a quicker and less suffered end.		
23	item023	Stone Axe	30	Weapon	Axe	4d3	1	6	2	Axe	7	0	0	17	82	10	5	2	0	0	0	Not much more than fire-hardened sticks lashed to sharp stones, these crude implements make for poor tools and weapons.		
24	item024	Battle Hatchet	100	Weapon	Axe	4d3	3	6	4	Axe	7	0	0	19	86	5	10	5	2	0	0	Often carried by mounted knights as a secondary arm, battle hatchets are preferred by some who carry them to the exclusion to any sword.		
25	item025	Winged Axe	1000	Missile	Axe	8d10	9	10	10	Throwing Axe	7	0	0	35	90	0	0	10	5	2	0	These heavy axes are meant to be carried one-handed for use against both armored and unarmored foes.		
26	item026	Steel Axe	400	Weapon	Axe	4d3	9	6	10	Axe	7	0	0	15	120	0	0	5	10	5	0	One of several crates full of such axes stolen from the Dwarves by the Warlocks of Nighon.  Each of these weapons has been tempered and enchanted by the Stone City foundry, and stamped with their mark.		
27	item027	Dwarven Battleaxe	550	Weapon	Axe	4d5	12	6	13	Axe	7	0	0	35	100	0	0	0	2	5	10	While the blacksmiths of the Jadamean Dark Dwarves are not as skilled as their Erathian counterparts, they still produce a product superior to most of what is otherwise available.		
28	item028	Two-Handed Stoneaxe	225	Weapon2	Axe	3d7	1	5	1	Two-Handed Axe	8	0	0	19	142	0	5	10	5	2	0	This style of long hafted axe has better reach and more power than the normal one-handed axe.		
29	item029	Warrior's Poleaxe	450	Weapon2	Axe	3d8	6	6	6	Two-Handed Axe	8	0	0	20	170	0	0	5	10	2	0	This poleaxe has a sharper blade equipped with all the latest in military technology:  Blood grooves, whistle-holes, and a counterbalanced, smaller blade behind the haft for tricky, disembowling, backstrokes.		
30	item030	Headsman's Poleaxe	900	Weapon2	Axe	3d10	10	10	10	Two-Handed Axe	8	0	0	20	170	0	0	0	2	10	10	So named for the execution device favored by headsmen, the Headsman's Poleaxe sports a longer blade to reduce messy and embarassing execution mistakes.  		
31	item031	Tribe Javelin	250	Missile	Spear	6d9	3	8	4	Javelin	9	0	0	8	126	10	10	2	0	0	0	A fire-hardened and sharpened sapling studded with thorns, spears like these are used by Ogre troops for drill and basic combat training.		
32	item032	Steel spear	50	Weapon1or2	Spear	2d9	1	6	3	Spear	9	0	0	8	118	5	5	10	5	0	0	Spears like this are found in all armies where their versatility as both pole and melee weapons are demonstrated regulary.		
33	item033	Savage Spear	250	Weapon1or2	Spear	2d9	5	6	6	Spear	9	0	0	5	127	0	0	5	10	5	0	Composed entirely of a rare, bluish metal, the lower half of this spear is wrapped in an expensive leather. A collector's item! Like all spears, it can be used in one or both hands. (+1D9 if used two hands)		
34	item034	Sacred Spear	450	Weapon1or2	Spear	3d9	9	6	9	Spear	9	0	0	7	135	0	0	2	5	10	0	A smithy symbol and date stamp indicate this spear was made in the magical forces of Governor Padish 12 years before the silence (+1D9 if used two-handed).		
35	item035	Sublime Spear	650	Weapon1or2	Spear	4d9	13	6	12	Spear	9	0	0	5	126	0	0	0	2	5	10	A smithy symbol and date stamp indicate this spear was made in the magical forges of Governor Padish 12 years before the Silence.		
36	item036	Improvised Voulge	200	Weapon1or2	Spear	4d6	0	6	1	Halberd	10	0	0	25	135	0	5	10	5	2	0	This simple poleaxe appears to have been made by attaching the blade of a farm implement to a poorly crafted spear.		
37	item038	Weighted Halberd	400	Weapon1or2	Spear	3d6	4	6	5	Halberd	10	0	0	28	141	0	0	5	10	5	0	The haft of this halberd has been cored, and filled with a lead rod.  When the weapon is swung, the lead rod slides to the blade end of the halberd with a loud crack, adding force and weight to the blow.		
38	item037	Mighty Halberd	700	Weapon1or2	Spear	6d6	10	6	9	Halberd	10	0	0	28	140	0	0	0	2	5	10	A small stamp on the blade of this weapon indicates it was constructed in the famous Mekorig Foundry by the master himself, Mekorig the Blind.  You would be hard pressed to find a finer Halberd anywhere in the world 		
39	item039	Hayfork Javelin	600	Missile	Spear	9d10	5	10	8	Javelin	11	0	0	8	146	5	10	2	0	0	0	Though a common farming implement, this javelin is of sturdy construction and could be an excellent, if improvised, weapon.		
40	item040	Lightning Javelin	1250	Missile	Spear	9d12	7	10	10	Javelin	11	0	0	14	142	0	0	10	5	5	0	This weapon has no any useless decorations. No any element prevent this weapon from hiting the target and slay it with deadly wounds. This javelin is as swift as a lightning strike!		
41	item041	War Trident	700	Weapon1or2	Spear	6d6	12	6	9	Trident	11	0	0	18	139	0	0	0	2	5	10	A style favored by the Imerial Regnan Navy, the two side tines of the war trident are thin and sharp to make slashing as easy as stabbing.  To further impress enemies, the tines are gilded in brass, and the haft painted yellow, giving the appearance that the Regnans are fighting with golden weapons.		
42	item042	Hunting Bow	100	Missile	Bow	6d5	0	3	1	Longbow	12	0	0	12	40	5	10	5	0	0	0	These lightweight bows of simple construction are meant for bringing down small game animals - not for direct combat.		
43	item043	Recurve Bow	200	Missile	Bow	6d5	2	3	3	Longbow	12	0	0	12	40	0	10	20	10	5	5	Recurved bowstaves allows an archer to pull a heavier bow than they might otherwise be able to.  Greater pull weight means greater arrow speed for increase range and damage..		
44	item044	Bow and Quiver	350	Missile	Bow	6d5	4	3	6	Longbow	12	0	0	12	40	0	0	10	20	10	10	This bow has got a magical quiver that is always full of arrows.  The strong, flexible wood makes a sturdy bow.		
45	item045	Elven Bow	500	Missile	Bow	6d5	6	3	9	Longbow	12	0	0	12	40	0	0	5	10	20	10	Elven bows are the most powerfull creations. They were made with the help of magic. They are generally more flexible and powerful than regular bows.		
46	item046	Enchanted Elven Bow	600	Missile	Bow	7d6	8	3	12	Longbow	12	0	0	12	40	0	0	0	5	10	20	Only elven craftsmen knows the way of enchanting such mighty bows. With this bow master enchanted the quiver. Arrows from the quiver is the only arrows that can be used with the bow. Spell prevent the bow from using another arrows.		
47	item047	Long Bow	50	Missile	Bow	4d5	1	4	1	Longbow	13	0	0	12	10	5	10	5	0	0	0	Simple longbow. Usualy used in hunting rabbits.		
48	item048	Ebony Bow	200	Missile	Bow	4d5	4	4	5	Longbow	13	0	0	12	10	0	0	10	10	10	0	Light bow made of an ebony tree. It almost black.		
49	item049	Composite Bow	400	Missile	Bow	4d5	8	4	9	Longbow	13	0	0	26	10	0	0	0	10	10	15	The Merchants like to see their caravan guards well armed.  This well-crafted composite bow has a cranked drawing mechanism.		
50	item050	Club	50	Weapon	Mace	2d5	0	6	1	Mace	14	0	0	12	110	10	10	2	0	0	0	Barely more sophisticated than a normal club, the mace is slightly more effective and much more durable.		
51	item051	Spiked Mace	150	Weapon	Mace	2d5	2	6	3	Mace	14	0	0	15	96	5	10	5	2	0	0	This weapon is designed to inflict good damage to both armored and unarmored opponents.		
52	item052	Zealot Mace	300	Weapon	Mace	2d5	5	6	6	Mace	14	0	0	12	94	0	0	5	10	5	0	A common mace from Karigor, it displays the same superior quality of all weapons and equipment from that island.		
53	item053	Morningstar	450	Weapon	Mace	2d5	8	6	9	Mace	14	0	0	1	67	0	0	2	5	10	5	A variation of the mace, the morningstar hits slower but much harder.  The spikes on the ball guarantee recipients will feel the blow, regardless of armor or hide.		
54	item054	Supreme Flail	600	Weapon	Mace	2d5	11	6	12	Mace	14	0	0	1	100	0	0	0	2	5	10	A heavier, more menacing weapon than a morningstar, flails are almost as dangerous to their wielder as they are to opponents.  Flails like this one are of the highest quality, thoroughly enchanted by the Warlock Guild of Nighon.		
55	item055	Rusty Hammer	120	Weapon	Mace	2d6	0	6	1	Hammer	15	0	0	15	71	10	10	5	0	0	0	A crude, tool-like weapon, this hammer includes a wrist chain to prevent it from dropping from your hand.		
56	item056	War Hammer	300	Weapon	Mace	2d6	3	6	5	Hammer	15	0	0	19	98	5	0	5	2	0	0	A step up in construction quality, these hammers are commonly wielded by humanoid monsters.  Since everyone knows most monsters don't make weapons, the question 'from where are they getting them?' arises…		
57	item057	Dwarven Hammer	650	Weapon	Mace	2d6	9	6	9	Hammer	15	0	0	19	88	0	0	0	2	5	10	The top of the line for the hammer family of weapons.  This Dwarven hammer was constructed in the forges of Stone City, and every feature is perfect--balance, weight, handle material, head construction--all the best possible with modern metalurgical techniques.		
58	item058	Club	2	Weapon	Club	1d4	1	3	1	Club	16	0	0	13	115	10	5	2	0	0	0	A primitive weapon usable by even the stupidest of monsters.  This club is constructed of Erathian oak.		
59	item059	Spiked Club	40	Weapon	Club	1d3	4	4	3	Club	16	0	0	8	108	5	0	2	2	0	0	An improvement over the simple club, this spiked club will inflict nastier wounds.		
60	item060	Steel club	100	Weapon	Club	1d3	6	4	5	Club	16	0	0	16	145	0	0	5	5	10	0	The symmetry and length of the knob at the end of the club is the only feature that distinguishes this club from a mace.  The balance is good, the construction is solid, but it IS still a club, and you can't expect that much from it.  Probably of Goblin manufacture.		
61	item061	Bamboo Staff	400	Weapon2	Staff	2d6	0	3	1	Staff	17	0	0	1	103	5	10	5	0	0	0	Many dangers face the Jadamean traveler.  Even the least battle-minded carry some sort of weapon.  These iron ended walking sticks are a common choice.		
62	item062	Orb Staff	500	Weapon2	Staff	2d6	3	3	5	Staff	17	0	0	7	118	0	0	10	5	2	0	This staff is topped with a head of polished turquoise to give it greater striking force.		
63	item063	Sorcery Staff	500	Missile	Staff	2d6	7	3	9	Enchanted Staff	17	0	0	5	127	0	0	0	2	5	10	This finely decorated staff is the product of Wizard's craft.  Wrapped with exotic elements runes - this weapon contain a magical power whithin. It allow the weidler of it to concentrate spiritual power and relese it in a magical missiles.		
64	item064	Blaster	0	Weapon	Blaster	3d5	8	10	30	Ancient Weapon	18	0	0	-2	12	0	0	0	0	0	0	A weapon of awesome power, almost certainly created during the Time of Wonders.  		
65	item065	Blaster Rifle	0	Missile	Blaster	5d8	14	10	30	Ancient Weapon	19	0	0	1	64	0	0	0	0	0	0	The finest of personal weapons made during the Time of Wonders, Blaster Rifles can deal death faster than any weapon you have ever seen.		
66	item066	Simple Clothes	150	Armor	Leather	6	0	3	1	Clothes	20	0	0	14	0	25	35	0	0	0	0	Some kind of fisherman's suit. Give minimal protection against blows.		
67	item067	Clother of the Drow	250	Armor	Leather	6	3	3	4	Clothes	20	0	0	14	0	0	25	35	25	0	0	This is a traditional suit of Drow elves. It is not affect your agility but do not have anough protection.		
68	item068	Regnan Outfit	450	Armor	Leather	6	9	3	8	Clothes	20	0	0	14	0	0	0	25	35	25	0	An otherwise ordinary suit of Regnan pirates, this suit is imbued with a subtle enchantment that strengthens the material against blows without increasing weight.		
69	item069	Bone Armor	750	Armor	Leather	6	18	3	10	Clothes	20	0	0	14	0	0	0	0	25	35	25	Unique clothes made of leathe and bones. Often used by dark sorcerers and necromansers.		
70	item070	Royal Robes	1150	Armor	Leather	6	30	3	12	Clothes	20	0	0	14	0	0	0	0	0	25	35	Only a few suits like this one have been made, and all were special orders for members of the royal family of Erathia--the Gryphonhearts.  This one had to come from one of three places:  Stolen from the palace armory, taken on the battlefield, or robbed from a grave.		
71	item071	Rusty Chainmail	400	Armor	Chain	12	0	6	1	Chain Mail	21	0	0	14	0	5	15	25	0	0	0	Chain mail is an armor formed of small, interlocking loops of metal.  It looks like someone forgot to oil the rings, or maybe left it out in the rain because rust has begun to form in the armpits and under the collars.		
72	item072	Steel Chain Mail	600	Armor	Chain	12	6	6	5	Chain Mail	21	0	0	14	0	0	10	25	10	0	0	Constructed of strong steel this is the type of armor worn by the rank and file foot soldiers of many armies.		
73	item073	Fine Chain Mail	900	Armor	Chain	12	15	6	10	Chain Mail	21	0	0	14	0	0	0	10	25	10	0	Very high quality steel is reinforced with fine studded leather to soften blows while minimizing weight.  The leather portions are quite artistic and pleasing to the eye.		
74	item074	Meteorite Chain Mail	1300	Armor	Chain	12	27	6	15	Chain Mail	21	0	0	14	0	0	0	0	10	25	10	A chainmail made from enchanted metal from the stars. Someone thinks that it is made from the Skyboats of the Ancients but you will not belive such stupid rumors, do you? 		
75	item075	Elite Chain Mail	1800	Armor	Chain	12	42	6	20	Chain Mail	21	0	0	14	0	0	0	0	0	10	35	Another master product of the Alvarian Armorers' Guild, this hybrid suit of plate and mail is made of siertal-alloy finished erudine with an attention to craftsmanship worthy of the precious materials.		
76	item076	Breast Plate	1000	Armor	Plate	30	0	9	1	Plate Armor	22	0	0	14	0	0	5	10	25	10	0	Plate armor is the strongest armor available.  It is much heavier than other suits of armor, and requires considerable practice to get used to wearing.  This suit is made of iron, and the workmanship is unremarkable.		
77	item077	Splendid Plate Armor	1400	Armor	Plate	30	12	9	8	Plate Armor	22	0	0	14	0	0	0	0	10	25	10	Forged in an Erathian armory, this suit of plate armor bears a recent stamp:  B.R., Steadwick Foundry, 1151.  The initials are those of Byron Rockermann, Royal armorsmith of Erathia.  His work is competent and elegant.		
78	item078	Guardian Plate Armor	2700	Armor	Plate	30	51	9	20	Plate Armor	22	0	0	14	0	0	0	0	0	10	35	A suit of armor so fine could only have come from the forge of the Master himself--Mekorig the Blind.  Indeed, this one bears the initials of his son, Kasev Mekorig near the heel.  The joints move easily, and the metal has a curious triple plated construction that makes it thin and light, yet incredibly strong.  Padding in comfortable, too.		
79	item079	Old Shield	200	Shield	Shield	9	0	4	1	Large Shield	23	0	0	45	65	10	10	5	0	0	0	A simple old shield, the design is often copied by apprentice armorsmiths just learning their craft.		
80	item080	Heavy Shield	300	Shield	Shield	9	2	4	4	Large Shield	23	0	0	52	65	5	10	5	0	0	0	Made from stone this shiled is a bit heavy.		
81	item081	Clay Shield	400	Shield	Shield	9	4	4	8	Large Shield	23	0	0	45	90	0	0	10	5	0	0	Also known as a Golem Torso. This shields were made from the forst golems that were made of clay. When golem became useless - a wizard made a shield from it's torso. Shields were designed specialy for female priests to protect them during their crusades. Trully! Women feels themselves like behind a strong man's chest.		
82	item082	Tournament Shield	500	Shield	Shield	9	10	4	12	Large Shield	23	0	0	61	95	0	0	5	10	10	5	Every ten moons, the Regnans hold a great festival which includes a tournament of arms. The noble class contestants spare no expense in the commissioning of shields that are light, but tough enough to shelter them from harm.		
83	item083	Divine Cross Shield	800	Shield	Shield	9	19	4	16	Large Shield	23	0	0	55	90	0	0	0	0	10	20	Shield of a paladins of Enroth. Blessed by the high priests this shiled protect it's owner from heavy blows and arrows.		
84	item084	Small Buckler	100	Shield	Shield	6	0	4	1	Small Shield	24	0	0	25	35	15	15	5	0	0	0	This small shield is gripped in the off-weapon hand.  The wielder is much dependent on agility to make use of its scant defensive coverage.		
85	item085	Janus Shield	200	Shield	Shield	6	3	4	4	Small Shield	24	0	0	55	50	5	10	5	0	0	0	Bronze shields are lighter than iron shields of the same size, but aren't nearly as strong.		
86	item086	Crystal Shield	300	Shield	Shield	6	6	4	8	Small Shield	24	0	0	63	60	0	0	10	5	0	0	A favorite among wizards and sea creatures. This shiled made of water crystals, it is all the time as cold as ice.		
87	item087	Satanic Shield	450	Shield	Shield	6	12	4	12	Small Shield	24	0	0	48	55	0	0	5	10	15	10	The Necromancers' Guild likes to arm its undead armies well.  Their elite infantry carry these erudine alloy shield of great strength. You can feel it's evil powers. Maybe it is better to thow this shield away?  		
88	item088	Herondale's Lost Shield	750	Shield	Shield	6	21	4	16	Small Shield	24	0	0	55	65	0	0	0	0	10	20	The great knight Gerrald Herondale abandoned this shield after it took the brunt of a dark and deadly curse.  Though it still retained its great powers, the shield was also weighed down with malevolent energies.		
89	item089	Rune Ka	60	Helm	Misc	3	0	6	1	Rune	25	0	0	0	20	10	15	2	0	0	0	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the mind.		
90	item090	Rune Tir	260	Helm	Misc	3	6	6	4	Rune	25	0	0	0	0	5	10	15	5	0	0	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the wisdom.		
91	item091	Rune Tora	460	Helm	Misc	3	9	6	8	Rune	25	0	0	0	0	0	0	10	15	5	0	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the freedom.		
92	item092	Rune Flux	660	Helm	Misc	3	12	6	10	Rune	25	0	0	0	0	0	0	5	10	15	5	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the creation.		
93	item093	Rune Tatum	860	Helm	Misc	3	15	6	12	Rune	25	0	0	0	-3	0	0	0	5	10	20	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the destruction.		
94	item094	Rune Fer	20	Helm	Misc	2	0	2	1	Rune	26	0	0	0	0	0	10	10	5	2	0	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the brave heart.		
95	item095	Rune Cal't	100	Helm	Misc	2	2	2	4	Rune	26	0	0	0	0	0	0	10	10	5	0	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the honor.		
96	item096	Rune Beva	200	Helm	Misc	2	4	2	8	Rune	26	0	0	0	0	0	0	5	10	10	5	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the agility.		
97	item097	Rune Bejah	250	Helm	Misc	2	6	4	20	Rune	27	0	0	0	-3	0	5	10	5	2	0	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the spirit.		
98	item098	Noble Crown	450	Helm	Misc	2	8	4	25	Rune	27	0	0	0	0	0	0	5	10	5	0	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the sorrow.		
99	item099	Regal Crown	650	Helm	Misc	2	10	4	30	Rune	27	0	0	0	0	0	0	5	10	15	20	Magical rune than purify the mind from chaos and give you a power of self-control. Holds power of the pure might.		
100	item100	Poor Belt	40	Belt	Misc	0	0	3	1	Belt	28	0	0	0	0	0	10	5	5	2	0	A peasant's belt.  This one is made of poorly cured leather and rusting iron studs.		
101	item101	Fine Belt	100	Belt	Misc	0	0	3	3	Belt	28	0	0	0	0	0	5	10	5	5	0	A well crafted belt of well tanned leather and fine stitching.  The buckle is made of polished silver.		
102	item102	Rich Belt	225	Belt	Misc	0	0	3	6	Belt	28	0	0	0	0	0	0	5	10	5	0	A tough, yet high quality leather belt.  This one was probably made in western Erathia.  		
103	item103	Silver Belt	450	Belt	Misc	0	0	3	9	Belt	28	0	0	0	0	0	0	5	5	10	10	A very nicely made silver belt, this one is old, but well cared for.  There's no trace of tarnish on any of the links--just a bit of wear around the buckle.		
104	item104	Heavy Belt	600	Belt	Misc	0	0	3	12	Belt	28	0	0	0	0	0	0	2	5	10	20	Gaudy to an extreme, this belt is made of sold 14 karet gold.  Each link has a different, low quality image stamped on its face.  Tasteless, but valuable.		
105	item105	Rugs	50	Cloak	Misc	2	0	2	2	Cloak	29	0	0	0	0	5	10	15	10	5	0	A simple traveller's cloak.		
106	item106	Leather Cloak	150	Cloak	Misc	2	3	2	5	Cloak	29	0	0	0	0	5	10	15	10	5	0	Leather cloak colored black to make the wearer difficult to see in the dark.  Not much to look at, but it serves its purpose.		
107	item107	Elegant Manteu	250	Cloak	Misc	2	6	2	9	Cloak	29	0	0	0	0	0	0	10	15	10	0	This cloak has got very beautiful color and style.		
108	item108	Fur Manteu	450	Cloak	Misc	2	9	2	14	Cloak	29	0	0	0	0	0	0	5	10	15	10	This elegant manteu made of fur of extinct fluffy animal. It will protect you during cold winter nights.		
109	item109	Royal Cloak of Red Silk	750	Cloak	Misc	2	12	2	20	Cloak	29	0	0	0	0	0	0	2	5	10	20	Almost all cloaks like this one come with some sort of enchantment.  The Warlocks of Nighon employ legions of mentally enslaved people to perform the tedious weaving and ritual spell casting necessary to make these cloaks.		
110	item110	Gauntlets	100	Gauntlets	Misc	4	0	6	2	Gauntlets	30	0	0	0	0	5	15	5	5	2	0	Low quality iron gauntlets with cloth linings to prevent blisters.  		
111	item111	Steel Gauntlets	250	Gauntlets	Misc	4	4	6	5	Gauntlets	30	0	0	0	0	5	10	15	10	5	0	This pair of gauntlets is made of steel and decorated with brass tracery along the outside of the palm and back of the hand.  It is in good repair and well oiled.		
112	item112	Silver Mesh Gauntlets	450	Gauntlets	Misc	4	7	6	9	Gauntlets	30	0	0	0	0	0	0	10	15	10	0	Made of silver, these gauntlets offer good protection, but have a tendency to pinch.		
113	item113	Minotaur Gauntlets	650	Gauntlets	Misc	4	10	6	14	Gauntlets	30	0	0	0	0	0	0	5	10	15	10	Siertal-alloy makes these gauntlets light and tough.  Superior workmanship make them comfortable and flexible.		
114	item114	Crusader's Gauntlets	850	Gauntlets	Misc	4	13	6	20	Gauntlets	30	0	0	0	0	0	0	2	5	10	20	These gauntlets are master crafted from pure erudine marking them as the product of Derrick Goreth's White Light Forgeworks.		
115	item115	Walking Boots	50	Boots	Misc	3	0	3	2	Boots	31	0	0	0	0	10	15	10	5	2	0	Built more for comfort than combat, these boots of soft leather offer good protection from mud and sharp stones, but are not meant to turn weapon blows.		
116	item116	Steel Plated Boots	250	Boots	Misc	3	6	3	5	Boots	31	0	0	0	0	0	10	15	10	5	0	This pair of leather boots has been fitted with steel plates on the top of the foot and at the shin.		
117	item117	Ranger Boots	450	Boots	Misc	3	9	3	9	Boots	31	0	0	0	0	0	0	5	10	15	0	A quality set of Erathian leather boots.  This pair has the usual features of Erathian leather craftsmanship:  Soft, water resistant, and quiet.  		
118	item118	Knight's Boots	650	Boots	Misc	3	12	3	14	Boots	31	0	0	0	0	0	0	0	5	10	15	Polished silver boots with velvet interiors, these boots are lighter than steel boots and far more comfortable.  They look pretty snappy, too.		
119	item119	Paladin Boots	850	Boots	Misc	3	15	3	20	Boots	31	0	0	0	0	0	0	0	2	15	25	Made in the forge of Byron Rockermann, these silver and steel boots are amongst the best in the world.  The are enormously strong, yet fit comfortable and flexibly in all the right spots.		
120	item120	Old Silver Ring	100	Ring	Misc	0	0	7	2	Ring	32	0	0	0	0	10	20	10	10	0	0	A tarnished silver ring.  Polished up, you might be able to sell it for something…but don't expect much.		
121	item121	Copper Ring	300	Ring	Misc	0	0	7	6	Ring	32	0	0	0	0	10	15	20	10	0	0	A ring made of copper. Not bad but you deserve much better, don't you?		
122	item122	Platinum Ring	500	Ring	Misc	0	0	7	9	Ring	32	0	0	0	0	0	0	15	20	10	0	At first glance silver, this ring is actually made of platinum.  The gemstone is a small, flawed diamond.		
123	item123	Emerald Ring	700	Ring	Misc	0	0	7	12	Ring	32	0	0	0	0	0	0	10	20	15	0	A large, cut emerald adorns an otherwise plain silver ring.		
124	item124	Sapphire Ring	900	Ring	Misc	0	0	7	15	Ring	32	0	0	0	0	0	0	10	20	20	0	Three small sapphires are mounted at the top of this silver and gold ring.  Rings of this quality are often enchanted.		
125	item125	Warlock's Ring	1100	Ring	Misc	0	0	7	18	Ring	32	0	0	0	0	0	0	5	10	20	0	This complex and gaudy arrangement of amythests on platinum can be appealing, if you like that sort of thing.		
