#	Lvl		PosX	PosY	Resource	FX Name	Mana	Recovery	Base Dmg	Skill point dmg	Name	Spell Description	Normal	Expert	Master	Grand Master	Stats	Notes	Name	SFX Effect
1	1	FireMagic	217	15	3		1	60-60-60-40			Torch Light	Torch light increases the radius of light surrounding your party in the dark.  	Duration 1 hour per point of  skill	Brighter light	Brightest Light	Faster recovery	P	poner una llama	Torch Light	
12	1	AirMagic	296	234	11		1	60			Wizard Eye	Wizard Eye causes the automap located in the upper right corner of the main gaming screen to show the locations of monsters and other points of interest while outdoors.  The spell lasts 1 hour per point of skill in Air Magic.	Only shows terrain and monsters	Shows treasure	Shows 'points of interest'	Casting cost is free	P	portraits o particulas?	Wizard Eye	
13	2	AirMagic	117	3	2		2	120-120-120-100			Feather Fall	Feather Fall prevents your characters from being hurt when falling more than ten feet by slowing the speed of the fall.  Feather Fall affects your entire party with one casting and has a duration based on your skill in Air Magic. 	Duration 5 minutes per point of skill	Duration 10 minutes per point of skill	Duration 1 hour per point of skill	Faster recovery	P	portraits o particulas?	Feather Fall	
14	3	AirMagic	11	230	9		3	120			Air Resistance	Increases all your characters’ resistance to air magic by an amount equal to your skill in Air and lasts one hour per point of skill.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill	4 points resistance per point of skill	P	portraits o particulas?	Air Resistance	
15	4	AirMagic	113	101	6		4	110-100-90-80	2	1	Sparks	Sparks fires small balls of lightning into the world that bounce around until they hit something or dissipate.  It is hard to tell where they will go, so this spell is best used in a room crowded with small monsters.  Each spark does 2 points plus 1 per point of skill in Air Magic.	Moderate recovery rate, 3 sparks	Faster recovery rate, 5 sparks	Faster recovery rate, 7 sparks	Fastest recovery rate, 9 sparks	PMEC	proyectil	Sparks	
16	5	AirMagic	317	110	8		5	90-90-70-50			Jump	Jump launches your party up in the air, landing you 60 feet from where you started.  Your party takes no falling damage from the jump.	n/a	Moderate recovery rate	Faster recovery rate	Fastest recovery rate	P		Jump	
17	6	AirMagic	16	123	5		8	120			Shield	Halves damage from incoming ranged attacks (such as rocks and arrows) by slowing the missiles down just before they hit.	n/a	Duration 1 hour + 5 minutes per point of skill	Duration 1 hour + 15 minutes per point of skill	Duration 1 hour + 1 hour per point of skill	PM	portraits o particulas?	Shield	
18	7	AirMagic	149	236	10	LightningBolt	10	100-100-90-70	0	8	Lightning Bolt	Sorcerer’s Darling, Lightning Bolt discharges electricity from the caster’s hand to a single target.  It always hits and does 1-8 points of damage per point of skill in Air Magic.	n/a	Moderate recovery rate	Faster recovery rate	Fastest recovery rate	PMEC	proyectil	Lightning Bolt	10
19	8	AirMagic	206	13	3		15	200			Invisibility	This spell can't be cast while hostile monsters are nearby.  Invisibility works on the minds of nearby creatures, making them unable to notice the party unless spoken to or attacked.  Any sort of attack, regardless of whether or not it hits or misses, will break this spell.	n/a	n/a	Duration 10 minutes per point of skill	Duration 1 hour per point of skill	P	portraits o particulas?	Invisibility	
20	9	AirMagic	201	118	7	Implosion	20	100-100-100-90	10	10	Implosion	Implosion is a nasty spell that affects a single target by destroying the air around it, causing a sudden inrush from the surrounding air, a thunderclap, and 10 points plus 1-10 points of damage per point of skill in Air Magic.	n/a	n/a	Moderate recovery rate	Fast recovery rate	PMC	proyectil	Implosion	21
21	10	AirMagic	19	9	1		25	250			Fly	Grants the power of flight to your characters!  This spell is very expensive and only works outdoors, but it is very useful.  Fly will drain one spell point every five minutes it is in use (I.E. when you aren't touching the ground).	n/a	n/a	Duration 1 hour per point of skill	No spell point drain	P	portraits o particulas?	Fly	
22	11	AirMagic	285	7	4		30	90	20	1	Starburst	Calls stars from the heavens to smite and burn your enemies.  Twenty stars are called, and the damage for each star is 20 points plus 1 per point of skill in Air Magic, and Starburst only works outdoors.  Try not to get caught in the blast…	n/a	n/a	n/a	This spell is as good as it will ever get!	PEC	proyectil	Starburst	
23	1	WaterMagic	293	5	4		1	60-60-60-20			Awaken	Automatically awakens all of your characters from a normal sleep and will awaken them from a magical sleep if they haven't had the sleep condition for too long.  The greater your skill in Water Magic, the longer the sleep condition could have been present before this spell becomes ineffective.	Works if asleep less than 3 minutes per point of skill	Works if asleep less than 1 hour per point of skill	Works if asleep less than 1 day per point of skill	Fast recovery rate	P	portraits o particulas?	Awaken	
24	2	WaterMagic	301	115	8		2	110-100-90-70	2	2	Poison Spray	Sprays poison at monsters directly in front of your characters.  Damage is low, but few monsters have resistance to water magic, so it usually works.  Each shot does 2 points of damage plus 1-2 per point of skill in Water Magic.	Slow rate of recovery, 1 shot	Faster recovery rate, 3 shots	Faster recovery rate, 5 shots	Fastest recovery rate, 7 shots	P	proyectil	Poison Spray	8 o 18
25	3	WaterMagic	15	226	9		3	120			Water Resistance	Increases all your characters’ resistance to Water magic by an amount equal to your skill in Water and lasts one hour per point of skill.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill	4 points resistance per point of skill	P	portraits o particulas?	Water Resistance	
26	4	WaterMagic	17	9	1		4	110-100-90-80	0	4	Ice Bolt	Fires a single bolt of ice at a single target.  It always hits and does 1-4 points of damage per point of skill in Water Magic.	Slow rate of recovery	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PMEC	proyectil	Ice Bolt	9? O 16?
27	5	WaterMagic	154	225	10		5	150			Water Walk	Only useful outdoors, Water Walk lets your characters walk along the surface of water without sinking.  This spell can be very useful, but constantly drains one spell point every 20 minutes while in contact with water.	n/a	Duration 10 minutes per point of skill	Duration 1 hour per point of skill	No spell point drain	P	portraits o particulas?	Water Walk	
28	6	WaterMagic	210	34	3		8	200			Recharge Item	Recharges any magic item that uses charges.  Every time this spell is cast, the item permanently loses 50% - 1 per point of skill in Water magic of its charges. 	n/a	Item loses 50% - 1 per point of skill in water magic	Item loses 30% - 1 per point of skill in water magic	Item loses 20% - 1 per point of skill in water magic	PE		Recharge Item	
29	7	WaterMagic	272	220	11		10	100-100-90-80	9	9	Acid Burst	Acid burst squirts a jet of extremely caustic acid at a single victim.  It always hits and does 9 points of damage plus 1-9 per point of skill.  	n/a	Moderate recovery rate	Faster recovery rate	Fastest recovery rate	PMC	proyectil	Acid Burst	13?18? 23?
30	8	WaterMagic	175	136	7		15	140			Enchant Item	Gives a chance to imbue a normal item with magical powers.  The chance of success is 10% per point of skill in Water Magic.  Grandmasters can manage better enchantments.	n/a	n/a	Moderate strength enchantments	Strong enchantments	P		Enchant Item	
31	9	WaterMagic	78	121	6		20	200			Town Portal	Town Portal teleports the party to the central fountain of any town the player has visited.  Town Portal has a 10% chance per point of Water Magic skill of working when cast, and cannot be used while hostile monsters are nearby.  	n/a	n/a	Does not work while hostile monsters are nearby	Works while hostile monsters are nearby	P		Town Portal	
32	10	WaterMagic	140	0	2		25	80	12	3	Ice Blast	Fires a ball of ice in the direction the caster is facing.  The ball will shatter when it hits something, launching 7 shards of ice in all directions except the caster’s.  The shards will ricochet until they strike a creature or melt.  Each shard does 12 points of damage plus 1-3 per point of skill in Water Magic.	n/a	n/a	Moderate recovery rate and 7 shards	Faster recovery rate and 9 shards	PMEC	proyectil	Ice Blast	?+22?
33	11	WaterMagic	15	98	5		30	250			Lloyd's Beacon	Lloyd’s Beacon lets you place a marker at a location you want to teleport back to in the future.  Just how far in the future depends on your skill in Water Magic.  Cast this spell whenever you wish to either place a marker or return to one.  These beacons will decay after 1week per point of skill in Water magic after they are cast.	n/a	n/a	n/a	This spell is as good as it will ever get!	P		Lloyd's Beacon	
34	1	EarthMagic	303	108	7		1	80			Stun	Slaps a monster with magical force, forcing it to recover from the stun spell before it can do anything else.  Stun also knocks monsters back a little, giving you a chance to get away while the getting is good.  The greater your skill in Earth Magic, the greater the effect of the spell.	Normal effect	Stronger effect	Stronger effect	Strongest effect	PC		Stun	
35	2	EarthMagic	201	217	10		2	100			Slow	Halves the walking speed and doubles the recovery rate of a single monster.  Slow makes sure a monster will attack you half as often, and will have a harder time catching up to you if you choose to run.  The duration of this spell is 1 minute per point of skill in Earth Magic.	Normal effect	Duration 5 min per point of skill	Monster slows to 1/4 speed	Monster slows to 1/8 speed	PC		Slow	
36	3	EarthMagic	10	229	8		3	120			Earth Resistance	Increases all your characters’ resistance to Earth magic by an amount equal to your skill in Earth and lasts one hour per point of skill.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill	4 points resistance per point of skill	P	portraits o particulas?	Earth Resistance	
37	4	EarthMagic	156	2	2		4	110-100-90-80	5	3	Deadly Swarm	Summons a swarm of biting, stinging insects to bedevil a single target.  The swarm only does 5 points of damage plus 1-3 per point of skill in Earth Magic, but it never misses.	Moderate recovery rate	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PC	proyectil	Deadly Swarm	
38	5	EarthMagic	296	225	11		5	120			Stone Skin	Increases the armor class of all characters by 5 + 1 point per point of skill in Earth Magic.	n/a	Duration 1 hour + 5 minutes per point of skill	Duration 1 hour + 15 minutes per point of skill	Duration 1 hour + 1 hour per point of skill	PM	portraits o particulas?	Stone Skin	
39	6	EarthMagic	7	9	1		8	100-100-90-80	0	9	Blades	Fires a rotating, razor-thin metal blade at a single monster.  The blade does 1-9 points of damage per point of skill in Earth Magic.	n/a	Moderate recovery rate	Faster recovery rate	Fastest recovery rate	PC	proyectil	Blades	no son particulas
40	7	EarthMagic	111	82	5		10	140			Stone to Flesh	Removes the stoned condition from a character if you cast this spell in time.  The greater the skill and rank in Earth Magic the longer the condition could have been present before the “point of no return” is reached.  After that, the only way to remove the condition short of Divine Intervention is to visit a temple.	n/a	Works if stoned less than 1 hour per point of skill	Works if stoned less than 1 day per point of skill	No time limit	P	portraits o particulas?	Stone to Flesh	
41	8	EarthMagic	277	9	3		15	90-90-90-80	0	8	Rock Blast	Releases a magical stone into the world that will explode when it comes into contact with a creature or enough time passes.  The rock will bounce and roll until it finds a resting spot, so be careful not to be caught in the blast.  The explosion causes 1-8 points of damage per point of skill in Earth Magic.	n/a	n/a	Moderate recovery rate	Faster recovery rate	PMC	proyectil	Rock Blast	7
42	9	EarthMagic	180	102	6		20	150			Telekinesis	Telekinesis lets you manipulate an object at a distance.  Switches can be thrown, objects picked up, and doors opened with this spell, all from a nice safe distance from those nasty traps.	n/a	n/a	n/a	Faster recovery rate	P		Telekinesis	
43	10	EarthMagic	11	117	4		25	100-100-100-90	20	1	Death Blossom	Fires a magical stone far into the air that creates a very large and powerful explosion, sending shards of explosive earth raining to the ground.  The damage is 20 points plus 1 per point of skill in Earth Magic for each shard.  This spell can only be used outdoors.	n/a	n/a	Moderate rate of recovery	Faster recovery rate, double effect of skill	PC	proyectil	Death Blossom	
44	11	EarthMagic	120	221	9		30	90	25	SPECIAL	Mass Distortion	Increases the weight of a single target enormously for an instant, causing internal damage equal to 25% of the monster’s hit points plus another 2% per point of skill in Earth Magic.  The bigger they are, the harder they fall.	n/a	n/a	n/a	This spell is as good as it will ever get!	PMC	proyectil	Mass Distortion	19?
45	1	SpiritMagic	22	129	5		1	100			Detect Life	Allows the party to see an opponent's current health as an exact number.	Duration 10 minutes per point of skill.	Duration 30 minutes per point of skill	Duration 1 hour per point of skill	Shows spells	P		Detect Life	
46	2	SpiritMagic	174	237	10		2	100			Bless	Blessed characters have an increased chance to hit monsters in hand to hand combat and with missiles.  A character’s bonus to hit is increased by 5 + 1 per point of skill in Spirit Magic.	Duration 1 hour plus 5 minutes per point of skill	Spell affects entire party	Duration 1 hour plus 15 minutes per point of skill	Duration 1 hour + 1 hour per point of skill	PM	portraits o particulas?	Bless	
47	3	SpiritMagic	290	231	11		3	90			Fate	Fate can be used on a character to increase his chance to hit, or on a monster to decrease its chance.  The chance is modified by 20 + 1 per point of skill in Spirit Magic, and lasts until the target attacks, or 5 minutes go by.	Bonus or penalty 20 + 1 per point of skill	Bonus or penalty 20 + 2 per point of skill	Bonus or penalty 20 +4 per point of skill	Bonus or penalty 20 + 6 per point of skill	PM	portraits o particulas?	Fate	
48	4	SpiritMagic	217	136	7		4	120			Turn Undead	Forces all visible undead monsters to flee until the duration of Turn Undead runs out.  This spell lasts for 3 minutes plus one minute per point of skill in Spirit Magic.	Duration 3 minutes plus 1 per point of skill	Duration 3 minutes plus 3 per point of skill	Duration 3 minutes plus 5 per point of skill	Faster recovery	PM		Turn Undead	
49	5	SpiritMagic	89	15	2		5	120			Remove Curse	Removes the cursed condition from a character if you cast this spell in time.  The greater the skill and rank in Spirit Magic the longer the condition could have been present before the “point of no return” is reached.  After that, the only way to remove the condition short of Divine Intervention is to visit a temple.	n/a	Works if cursed less than 1 hour per point of skill	Works if cursed less than 1 day per point of skill	No time limit	P	portraits o particulas?	Remove Curse	
50	6	SpiritMagic	305	115	8		8	120			Preservation	Preservation more tightly binds the soul to the body, delaying death due to massive hit point loss, but will not stop a character from going unconscious.  If hit points are still too low when the spells wears off, such a wounded character will then die.	n/a	Duration 1 hour + 5 minutes per point of skill	Works on entire party	Duration 1 hour + 15 minutes per point of skill	P	portraits o particulas?	Preservation	
51	7	SpiritMagic	18	8	1		10	120			Heroism	Heroism increases the damage a character does on a successful attack by 5 + 1 point per point of skill in Spirit Magic.  This spell affects the entire party at once.	n/a	Duration 1 hour + 5 minutes per point of skill	Duration 1 hour + 15 minutes per point of skill	Duration 1 hour + 1 hour per point of skill	PM	portraits o particulas?	Heroism	
52	8	SpiritMagic	292	7	4		15	100	10	8	Spirit Lash	This spell attempts to weaken the link between the body and soul, causing 10 + 1-8 points of damage per point of skill in Spirit Magic.  Because of the nature of the spell, the caster must be very close to the victim to set of the magic.  If the target is out of range when the spell is cast, the spell will fail without draining spell points.	n/a	n/a	Moderate recovery rate	Faster recovery rate	PMC	proyectil	Spirit Lash	26?
53	9	SpiritMagic	22	226	9		20	240			Raise Dead	Raises a character from the dead if you cast this spell in time.  The greater the skill and rank in Spirit Magic the longer the character could have been dead before the “point of no return” is reached.  After that, the only way to raise the character short of Divine Intervention is to visit a temple.  Casting this spell will leave your character in the weak condition.	n/a	n/a	Works if dead less than 1 day per point of skill	No time limit	P	portraits o particulas?	Raise Dead	
54	10	SpiritMagic	192	14	3		25	150			Shared Life	Shared Life combines the life force of your characters and redistributes it amongst them as evenly as possible.  All current hit points are totaled and 3 extra points per point of skill in Spirit Magic is added to this total.  Then the points are distributed back to the characters, with no individual character being allowed to have more points than his maximum total hit points.	n/a	n/a	Adds 3 hit points per point of skill to the pool	Adds 4 hit points per point of skill to the pool	P	portraits o particulas?	Shared Life	
55	11	SpiritMagic	125	146	6		30	1000			Resurrection	Resurrects an eradicated (body destroyed) character.  Recovery rate is very slow, but will be faster for characters with a higher skill in Spirit Magic.  The resurrected character will be in the weak condition after this spell is cast.	n/a	n/a	n/a	This spell is as good as it will ever get!	P	portraits o particulas?	Resurrection	
56	1	MindMagic	121	99	5		1	120			Remove Fear	Removes the afraid condition from a character if you cast this spell in time.  The greater the skill and rank in Mind Magic the longer the condition could have been present before the “point of no return” is reached.  After that, the only way to remove the condition short of Divine Intervention is to visit a temple.	Works if afraid less than 3 minutes per point of skill	Works if afraid less than 1 hour per point of skill	Works if afraid less than 1 day per point of skill	Works no matter how much time has passed	P	portraits o particulas?	Remove Fear	
57	2	MindMagic	128	213	9		2	110-100-90-80	3	3	Mind Blast	Fires a bolt of mental force damaging to a single targets’ nervous system.  Mind Blast does 3 points of damage plus 1-3 per point of skill in Mind Magic.	Slow recovery rate	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PMC	proyectil	Mind Blast	
58	3	MindMagic	13	236	8		3	120			Mind Resistance	Increases all your characters’ resistance to mind magic by an amount equal to your skill in Mind and lasts one hour per point of skill.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill	4 points resistance per point of skill	PC	portraits o particulas?	Mind Resistance	
59	4	MindMagic	292	7	3		4	110-100-90-80			Telepathy	Caster reads the target's mind, finding out exactly how much gold and what items the target has.	Slow recovery rate	Faster recovery rate	Faster recovery rate	Fastest recovery rate	P		Telepathy	
60	5	MindMagic	293	112	7		5	100			Charm	Calms a single targeted creature and removes any hostile feelings it has towards your characters.  If this creature takes any damage, it will immediately become hostile again.	n/a	Duration 5 min per point of skill	Duration 10 minutes per point of skill	Spell lasts until party leaves the map target is in	P		Charm	
61	6	MindMagic	220	87	6		8	120			Cure Paralysis	"Cures paralysis if you cast this spell in time.  The greater the skill and rank in Mind Magic the longer the character could have been paralyzed before the ""point of no return"" is reached.  After that, the only way to remove the condition short of Divine Intervention is to visit a temple."	n/a	Works if paralyzed less than 1 hour per point of skill	Works if paralyzed less than 1 day per point of skill	No time limit	PC	portraits o particulas?	Cure Paralysis	
62	7	MindMagic	17	122	4		10	120			Berserk	Causes a single monster to go mad with battle lust, attacking the nearest living creature until the spell wears off.	n/a	Duration 5 min per point of skill	Duration 10 minutes per point of skill	Duration is 1 hour per point of skill	PC		Berserk	
63	8	MindMagic	18	12	1		15	80			Mass Fear	All creatures in the caster’s sight fear the caster and flee.  If a creature takes damage while under the influence of this spell, the spell will be broken.  Mass Fear will not work on Undead creatures.  The duration of Mass Fear is 3 minutes per point of skill in Mind Magic.	n/a	n/a	Duration 3 minutes plus 5 per point of skill	Duration 5 minutes per point of skill	PC		Mass Fear	
64	9	MindMagic	315	223	11		20	120			Cure Insanity	Cures insanity if you cast this spell in time.  The greater the skill and rank in Mind Magic the longer the character could have been insane before the “point of no return” is reached.  After that, the only way to remove the condition short of Divine Intervention is to visit a temple.	n/a	n/a	Works if insane less than 1 day per point of skill	No time limit	P	portraits o particulas?	Cure Insanity	
65	10	MindMagic	148	9	2		25	110-110-110-100	12	12	Psychic Shock	Similar to Mind Blast, Psychic Shock targets a single creature with mind damaging magic, only to a much greater effect.  Psychic Shock does 12 points of damage plus 1-12 per point of skill in Mind Magic.	n/a	n/a	Moderate recovery rate	Faster recovery rate	PMC	proyectil	Psychic Shock	
66	11	MindMagic	220	223	10		30	120			Enslave	Takes control of target's mind for 10 minutes per point of skill in Mind Magic.  Enslaved creatures will fight monsters that are hostile to the caster for the duration of the spell, and will not fight with the caster even if attacked by the caster or his friends.  This spell will not work on the Undead.	n/a	n/a	n/a	This spell is as good as it will ever get!	P		Enslave	
67	1	BodyMagic	23	14	1		1	120			Cure Weakness	Cures the weak condition from a character if you cast this spell in time.  The greater the skill and rank in Body Magic the longer the character could have been weak before the “point of no return” is reached.  After that, the only way to cure the condition short of Divine Intervention is to visit a temple.	Works if weak less than 3 minutes per point of skill	Works if weak less than 1 hour per point of skill	Works if weak less than 1 day per point of skill	Works no matter how much time has passed	P	portraits o particulas?	Cure Weakness	
68	2	BodyMagic	122	132	6		2	100			Heal	Cures hit points on a single target when cast.  The number cured is equal to five plus 2 per point of skill in Body Magic.	Cures 5 hit points plus 2 per point of skill	Cures 5 hit points plus 3 per point of skill.  Ranged casting ok.	Cures 5 hit points plus 4 per point of skill	Cures 5 hit points plus 5 per point of skill	P	portraits o particulas?	Heal	
69	3	BodyMagic	20	228	9		3	120			Body Resistance	Increases all your characters’ resistance to body magic by an amount equal to your skill in Body and lasts one hour per point of skill.	1 point resistance per point of skill	2 points resistance per point of skill	3 points resistance per point of skill	4 points resistance per point of skill	P	portraits o particulas?	Body Resistance	
70	4	BodyMagic	204	0	3		4	110-100-90-80	8	2	Harm	Directly inflicts magical damage upon a single creature.  Harm does 8 points of damage plus 1-2 per point of skill in Body Magic.	Moderate recovery rate	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PMEC	proyectil	Harm	
71	5	BodyMagic	14	115	5		5	110			Regeneration	Gives the regeneration ability to a single character.  Regeneration will slowly heal back hit points over time while the spell is active.	n/a	Slowly heals hit points over time, Duration 1 hour per point of skill	Faster hit point recovery / minute	Fastest hit point recovery / minute	P	portraits o particulas?	Regeneration	
72	6	BodyMagic	293	122	8		8	120			Cure Poison	Cures poison in a character if you cast this spell in time.  The greater the skill and rank in Body Magic the longer the character could have been poisoned before the “point of no return” is reached.  After that, the only way to remove the condition short of Divine Intervention is to visit a temple.	n/a	Works if poisoned less than 1 hour per point of skill	Works if poisoned less than 1 day per point of skill	No time limit	P	portraits o particulas?	Cure Poison	
73	7	BodyMagic	294	239	11		10	100-100-90-90			Hammerhands	Hammerhands magically enhances the skill of an unarmed combatant, allowing his strikes to land more precisely against an opponent's weak spots.  Hammerhands inflicts Body Magic damage equal to the physical damage caused by the unarmed attack.	n/a	Faster recovery rate	Faster recovery rate	Spell affects entire party	PM		Hammerhands	
74	8	BodyMagic	200	116	7		15	120			Cure Disease	Cures disease in a character if you cast this spell in time.  The greater the skill and rank in Body Magic the longer the character could have been diseased before the “point of no return” is reached.  After that, the only way to remove the condition short of Divine Intervention is to visit a temple.	n/a	n/a	Works if diseased less than 1 day per point of skill	No time limit	P	portraits o particulas?	Cure Disease	
75	9	BodyMagic	154	228	10		20	120			Protection from Magic	Protection from Magic affects the entire party at once, granting immunity to certain spells and monster abilities that cause debilitation conditions.  These are:  Poison, Disease, Stone, Paralyze, and Weak.  Every time this spell saves a character from an effect, it weakens.  The spell can survive 1 attack per point of skill in body magic--after that, Protection from Magic is broken.	n/a	n/a	Duration 1 hour per point of skill	Grants immunity to death and eradication effects	P	portraits o particulas?	Protection from Magic	
76	10	BodyMagic	306	8	4		25	110-110-110-100	30	5	Flying Fist	Flying Fist throws a heavy magical force at a single opponent that does 30 points of damage plus 1-5 per point of skill in Body Magic.	n/a	n/a	Moderate recovery rate	Faster recovery rate	PMEC	proyectil	Flying Fist	
77	11	BodyMagic	127	8	2		30	100			Power Cure	Cures hit points of all characters in your party at once.  The number cured is equal to 10 plus 5 per point of skill in Body Magic.	n/a	n/a	n/a	This spell is as good as it will ever get!	PM	portraits o particulas?	Power Cure	
78	1	LightMagic	19	14	1		5	110-100-90-80	0	4	Light Bolt	Fires a bolt of light at a single target that does 1-4 points of damage per point of skill in light magic.  Damage vs. Undead is doubled.	Moderate recovery rate	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PM	proyectil	Light Bolt	1
79	2	LightMagic	204	203	10		10	120-110-100-90	16	16	Destroy Undead	Calls upon the power of Heaven to undo the evil magic that extends the lives of the Undead, inflicting 16 points of damage plus 1-16 per point of skill in Light Magic upon a single, unlucky target.  This spell only works on the Undead.	Moderate recovery rate	Faster recovery rate	Faster recovery rate	Fastest recovery rate	P	proyectil	Destroy Undead	
80	3	LightMagic	285	218	11		15	120-110-100-90			Dispel Magic	Removes all spells on all creatures in the caster’s sight, both helpful and harmful.  Recovery is reduced by an amount equal to skill in Light Magic  .	Moderate recovery rate	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PM	portraits o particulas?	Dispel Magic	
81	6	LightMagic	101	204	9		20	160-140-120-100			Paralyze	Paralyze temporarily prevents a monster from moving or attacking for the (short) duration of this spell, which is 3 minutes per point of skill in Light Magic.  You are free to attack your helpless target 'til your heart's content--paralyzed monsters cannot retaliate.	Moderate recovery rate	Faster recovery rate	Faster recovery rate	Fastest recovery rate	PM		Paralyze	
82	5	LightMagic	8	105	4		25	140			Summon Elemental	Summons a Lesser Light Elemental to fight for the party.  It will stay until the spell duration runs out or it is destroyed.  You can have no more than 1 elemental summoned at once.	n/a	Duration 5 minutes per point of skill.  1 elemental at one time	Summons a normal elemental.  Duration 15 minutes per point of skill. 3 elementals at once	Summons a greater elemental.  5 Elementals maximum.	PM		Summon Elemental	
83	6	LightMagic	283	12	3		30	500			Day of the Gods	Temporarily increases all seven stats on all your characters by three times your skill in Light magic.  This spell lasts until you rest.	n/a	All spells cast at three times skill	All spells cast at four times skill	All spells cast at five times skill	P	portraits o particulas?	Day of the Gods	
84	7	LightMagic	190	82	6		35	135-135-120-100	25	1	Prismatic Light	Inflicts 25 points of damage plus 1 per point of skill in Light Magic on all creatures in sight.  This spell can only be cast indoors.	n/a	n/a	Moderate recovery rate	Faster recovery rate	PC	proyectil	Prismatic Light	
